Campaign_ID,Company_ID,Campaign_Name,Objective,Object_Description,CTA,Start_Date,End_Date,Duration,Impressions,Clicks,Conversions,Budget,Total_Budget,Revenue,Platform
27,CMP003,Daily Essentials Deal,Website Traffic,Increase visits,Try It Today,6/7/2024,6/25/2024,18,115404,4322,1657,"$2,600.69 ","$2,363.81 ","$3,459.13 ",Facebook
28,CMP003,Summer Style Steals,Increase Sales,Increase visits,Get Offer,6/1/2024,6/19/2024,18,146594,4175,3679,"$3,072.57 ","$2,832.60 ","$10,161.95 ",Instagram
29,CMP003,Fast Track Savings,Brand Awareness,Drive traffic to website,Order Now,6/16/2024,7/27/2024,40,148467,9275,3409,"$5,967.99 ","$5,943.50 ","$7,753.99 ",Facebook
30,CMP006,The Must-Have Promo,Brand Awareness,Retarget old users,Buy It Now,6/29/2024,7/30/2024,31,169574,6201,2025,"$3,378.19 ","$3,345.20 ","$5,429.86 ",Instagram
31,CMP003,Bundle & Save,Brand Awareness,Promote new product,Shop the Look,6/18/2024,7/9/2024,21,193058,5373,4260,"$3,607.86 ","$3,688.90 ","$6,419.07 ",Facebook
32,CMP003,Your Next Favorite,Generate Leads,Increase visits,Try It Today,6/24/2024,7/30/2024,36,105775,7030,4172,"$4,744.23 ","$5,196.06 ","$10,861.02 ",Google
33,CMP006,The Try-It Campaign,Website Traffic,Retarget old users,Buy It Now,6/21/2024,7/15/2024,20,162797,6784,2259,"$3,677.69 ","$3,592.52 ","$4,029.84 ",Instagram
34,CMP003,"Save More, Shop More",Website Traffic,Promote new product,Order Now,6/2/2024,7/17/2024,45,169913,7206,4152,"$2,133.71 ","$1,956.07 ","$11,359.18 ",Instagram
35,CMP002,Click Crave Campaign,Brand Awareness,Retarget old users,Buy It Now,6/23/2024,7/12/2024,19,147934,4847,4299,"$3,879.45 ","$4,176.52 ","$12,576.10 ",Facebook
36,CMP004,Essentials Upgrade,Website Traffic,Drive traffic to website,Try It Today,6/25/2024,7/27/2024,32,153884,7897,1247,"$3,825.11 ","$3,603.21 ","$3,272.80 ",Youtube
37,CMP005,Scroll to Steal,Brand Awareness,Retarget old users,Try It Today,6/4/2024,6/19/2024,15,125667,7156,1407,"$2,084.67 ","$2,152.68 ","$2,623.65 ",Facebook
38,CMP005,Digital Deals Wave,Generate Leads,Increase visits,Order Now,6/9/2024,7/15/2024,36,108827,5443,4221,"$3,774.44 ","$3,705.08 ","$9,924.68 ",Youtube
39,CMP003,Hot Picks Promo,Website Traffic,Increase visits,Order Now,6/13/2024,7/13/2024,30,162835,7765,3377,"$3,557.06 ","$3,330.58 ","$5,433.79 ",Youtube
40,CMP002,Trend Watch Boost,Website Traffic,Retarget old users,Order Now,6/1/2024,6/17/2024,10,192191,6817,4073,"$2,023.68 ","$2,024.77 ","$6,372.92 ",Instagram
41,CMP004,Buy Smart Now,Website Traffic,Retarget old users,Get Offer,6/21/2024,7/30/2024,39,155001,6832,2332,"$2,801.72 ","$2,837.82 ","$4,566.70 ",Google
42,CMP005,Product Launch Drive,Increase Sales,Increase visits,Get Offer,6/14/2024,7/25/2024,41,173922,6756,3424,"$4,831.64 ","$4,857.11 ","$9,309.44 ",Google
43,CMP003,Convert & Grow,Brand Awareness,Retarget old users,Get Offer,6/15/2024,7/15/2024,30,93847,7229,3876,"$3,388.34 ","$3,138.23 ","$10,476.48 ",Instagram
44,CMP003,#JustDropped,Generate Leads,Drive traffic to website,Buy It Now,6/2/2024,7/5/2024,33,163973,6193,2037,"$5,167.27 ","$5,057.44 ","$4,594.39 ",Facebook
45,CMP002,"Style Now, Save Now",Increase Sales,Drive traffic to website,Get Offer,6/9/2024,7/3/2024,24,166080,7533,3653,"$5,884.74 ","$5,915.98 ","$7,807.32 ",Facebook
46,CMP005,Deal Drop Express,Generate Leads,Promote new product,Try It Today,6/20/2024,7/8/2024,15,161064,4097,2456,"$2,499.25 ","$2,344.02 ","$5,807.07 ",Instagram
47,CMP004,Home Essentials Push,Website Traffic,Drive traffic to website,Get Offer,6/17/2024,7/15/2024,28,192835,5089,4565,"$5,135.45 ","$5,327.56 ","$7,238.86 ",Youtube
48,CMP001,Must Buy Moment,Website Traffic,Increase visits,Try It Today,6/24/2024,7/21/2024,25,196297,6106,2821,"$2,409.03 ","$2,244.00 ","$4,617.73 ",Facebook
49,CMP005,Add to Cart Now,Generate Leads,Increase visits,Order Now,6/24/2024,7/30/2024,36,92576,4279,1685,"$4,286.59 ","$3,858.29 ","$3,814.83 ",Youtube
50,CMP002,Shopping Simplified,Generate Leads,Drive traffic to website,Order Now,6/17/2024,7/4/2024,10,170466,6555,4696,"$5,272.60 ","$5,627.96 ","$9,452.50 ",Google
51,CMP006,Product Buzz Week,Increase Sales,Increase visits,Buy It Now,6/22/2024,7/29/2024,37,199345,9085,4602,"$5,704.46 ","$5,517.66 ","$8,590.96 ",Facebook
52,CMP006,The Sale Swipe,Generate Leads,Increase visits,Order Now,6/23/2024,7/23/2024,30,162522,4432,1419,"$4,094.96 ","$3,971.08 ","$2,624.83 ",Facebook
53,CMP001,Smart Spend Campaign,Brand Awareness,Retarget old users,Shop the Look,6/8/2024,7/13/2024,35,191054,8401,4073,"$2,875.16 ","$3,072.01 ","$8,882.96 ",Facebook
54,CMP006,Shop the Trend,Website Traffic,Drive traffic to website,Get Offer,6/26/2024,7/25/2024,29,110751,4171,4708,"$4,069.98 ","$4,449.49 ","$11,706.78 ",Youtube
55,CMP003,Unlock the Offer,Brand Awareness,Promote new product,Get Offer,6/8/2024,6/28/2024,20,131995,4109,1211,"$4,260.18 ","$4,464.91 ","$3,133.77 ",Google
56,CMP006,One Click Wonder,Brand Awareness,Retarget old users,Order Now,6/18/2024,7/11/2024,23,126392,8370,2101,"$5,031.23 ","$4,948.83 ","$3,278.01 ",Youtube
57,CMP003,Early Access Drive,Increase Sales,Retarget old users,Try It Today,6/24/2024,7/21/2024,20,93126,9455,3559,"$3,691.66 ","$3,455.53 ","$8,667.41 ",Facebook
58,CMP003,Basket Value Boost,Brand Awareness,Retarget old users,Try It Today,6/23/2024,7/30/2024,37,179545,5399,4793,"$2,600.23 ","$2,679.09 ","$10,851.82 ",Facebook
59,CMP005,Sell Out Fast,Brand Awareness,Promote new product,Shop the Look,6/6/2024,7/6/2024,30,138257,7346,2708,"$4,051.85 ","$3,982.32 ","$4,430.48 ",Google
60,CMP006,Final Call Deals,Increase Sales,Promote new product,Get Offer,6/30/2024,7/30/2024,30,98094,8555,2987,"$3,851.51 ","$4,043.05 ","$5,558.15 ",Facebook
